year,site,lat,lon,strength_gtex
1990,"Bossier City, LA",32.516,-93.7321,29.960991365130447
1991,"Bossier City, LA",32.516,-93.7321,27.35639291848047
1993,"Bossier City, LA",32.516,-93.7321,32.13905928948298
1994,"Bossier City, LA",32.516,-93.7321,28.573692816163895
1995,"Bossier City, LA",32.516,-93.7321,32.18573467690301
1996,"Bossier City, LA",32.516,-93.7321,31.111595699976377
1999,"Bossier City, LA",32.516,-93.7321,32.29519004472185
2000,"Bossier City, LA",32.516,-93.7321,29.93970415828791
2001,"Bossier City, LA",32.516,-93.7321,31.130873203979192
2003,"Bossier City, LA",32.516,-93.7321,33.65731641016219
2004,"Bossier City, LA",32.516,-93.7321,30.103242506184547
2005,"Bossier City, LA",32.516,-93.7321,30.159444764274017
2007,"Bossier City, LA",32.516,-93.7321,32.13898104781149
2008,"Bossier City, LA",32.516,-93.7321,36.03255787322287
1980,"Chickasha, OK",35.0526,-97.9364,25.85082514818272
1982,"Chickasha, OK",35.0526,-97.9364,25.60607630328569
1983,"Chickasha, OK",35.0526,-97.9364,27.7885619831684
1984,"Chickasha, OK",35.0526,-97.9364,26.55170666144824
1985,"Chickasha, OK",35.0526,-97.9364,31.46079757053915
1986,"Chickasha, OK",35.0526,-97.9364,29.27897938872094
1987,"Chickasha, OK",35.0526,-97.9364,29.50419627288527
1988,"Chickasha, OK",35.0526,-97.9364,25.260256878945903
1989,"Chickasha, OK",35.0526,-97.9364,30.973893242582264
1994,"Chickasha, OK",35.0526,-97.9364,32.23928823591786
1995,"Chickasha, OK",35.0526,-97.9364,34.197055687213236
2002,"Chickasha, OK",35.0526,-97.9364,31.888828068063596
1981,"Chillicothe, TX",34.2565,-99.5168,26.12306570117374
2015,"Chillicothe, TX",34.2565,-99.5168,34.76724241666262
2017,"Chillicothe, TX",34.2565,-99.5168,33.5134727041892
2018,"Chillicothe, TX",34.2565,-99.5168,32.688472704189195
2019,"Chillicothe, TX",34.2565,-99.5168,37.37061556133204
1980,"Clarkdale, LA",35.3092,-112.0579,26.10440017377798
1983,"Clarkdale, LA",35.3092,-112.0579,28.471484142482325
1984,"Clarkdale, LA",35.3092,-112.0579,28.694982992888164
1986,"Clarkdale, LA",35.3092,-112.0579,29.77565500117415
1987,"Clarkdale, LA",35.3092,-112.0579,25.133318379263976
1989,"Clarkdale, LA",35.3092,-112.0579,27.911948674300973
1990,"Clarkdale, LA",35.3092,-112.0579,30.271307499082702
1991,"Clarkdale, LA",35.3092,-112.0579,27.427846405383576
1993,"Clarkdale, LA",35.3092,-112.0579,30.492862602870577
1994,"Clarkdale, LA",35.3092,-112.0579,29.414899702482252
1996,"Clarkdale, LA",35.3092,-112.0579,31.228690534382835
1997,"Clarkdale, LA",35.3092,-112.0579,31.708655344028124
1999,"Clarkdale, LA",35.3092,-112.0579,30.999252174281807
2000,"Clarkdale, LA",35.3092,-112.0579,29.99490383381744
2001,"Clarkdale, LA",35.3092,-112.0579,31.202327157038376
2004,"Clarkdale, LA",35.3092,-112.0579,32.65109675233355
1980,"College Station, TX",30.628,-96.3344,27.08234599863066
1981,"College Station, TX",30.628,-96.3344,27.20186716471249
1982,"College Station, TX",30.628,-96.3344,29.135921471364885
1983,"College Station, TX",30.628,-96.3344,25.566611303057716
1984,"College Station, TX",30.628,-96.3344,29.0668368891085
1985,"College Station, TX",30.628,-96.3344,27.950180856928895
1986,"College Station, TX",30.628,-96.3344,28.950968834898863
1988,"College Station, TX",30.628,-96.3344,23.188658098026785
1989,"College Station, TX",30.628,-96.3344,29.511626670641657
1992,"College Station, TX",30.628,-96.3344,31.337817744089055
1995,"College Station, TX",30.628,-96.3344,29.736064607302605
1996,"College Station, TX",30.628,-96.3344,29.771858384942753
1997,"College Station, TX",30.628,-96.3344,31.37718604550404
1998,"College Station, TX",30.628,-96.3344,29.490506213965332
1999,"College Station, TX",30.628,-96.3344,29.06551493226407
2000,"College Station, TX",30.628,-96.3344,33.69497171465419
2002,"College Station, TX",30.628,-96.3344,31.36985369888395
2003,"College Station, TX",30.628,-96.3344,29.634836584996297
2004,"College Station, TX",30.628,-96.3344,30.31319681390235
2005,"College Station, TX",30.628,-96.3344,27.80465492286729
2007,"College Station, TX",30.628,-96.3344,32.28419638129553
2008,"College Station, TX",30.628,-96.3344,33.30457419286216
2009,"College Station, TX",30.628,-96.3344,33.45474973803641
2010,"College Station, TX",30.628,-96.3344,32.82829475976936
2012,"College Station, TX",30.628,-96.3344,33.163075607948755
2013,"College Station, TX",30.628,-96.3344,33.79318158745452
2016,"College Station, TX",30.628,-96.3344,33.37191217791392
2017,"College Station, TX",30.628,-96.3344,34.163860789020006
2018,"College Station, TX",30.628,-96.3344,31.61170194307241
2019,"College Station, TX",30.628,-96.3344,34.421611434183156
2012,"Commerce, TX",33.2471,-95.9,26.562623336781876
2013,"Commerce, TX",33.2471,-95.9,28.95151222567076
2017,"Commerce, TX",33.2471,-95.9,34.765041292146115
2018,"Commerce, TX",33.2471,-95.9,30.05393018103502
2019,"Commerce, TX",33.2471,-95.9,34.451152403257254
1980,"Coolidge, AZ",32.9778,-111.5176,32.06565475258697
2015,"Corcoran, CA",36.098,-119.5604,29.896073697216252
2017,"Corpus Christi, TX",27.8006,-97.3964,31.523374625479473
1981,"Dallas, TX",32.7767,-96.797,27.01067353616657
1983,"Dallas, TX",32.7767,-96.797,24.945789866091314
1985,"Dallas, TX",32.7767,-96.797,26.356135193444366
1986,"Dallas, TX",32.7767,-96.797,28.606135193444363
1987,"Dallas, TX",32.7767,-96.797,23.17117158524269
1988,"Dallas, TX",32.7767,-96.797,23.2322826963538
1989,"Dallas, TX",32.7767,-96.797,30.196969669520612
1990,"Dallas, TX",32.7767,-96.797,30.758006785321303
1991,"Dallas, TX",32.7767,-96.797,28.766340118654625
1992,"Dallas, TX",32.7767,-96.797,31.29967345198796
1993,"Dallas, TX",32.7767,-96.797,30.559441455067237
1994,"Dallas, TX",32.7767,-96.797,31.98444145506723
1995,"Dallas, TX",32.7767,-96.797,30.617774788400578
1996,"Dallas, TX",32.7767,-96.797,31.302165880356732
1997,"Dallas, TX",32.7767,-96.797,31.637743039565947
1999,"Dallas, TX",32.7767,-96.797,28.819538242366505
2000,"Dallas, TX",32.7767,-96.797,28.954815888109124
2001,"Dallas, TX",32.7767,-96.797,35.48620490903319
2002,"Dallas, TX",32.7767,-96.797,34.59894708674275
2003,"Dallas, TX",32.7767,-96.797,32.52388166483398
2004,"Dallas, TX",32.7767,-96.797,29.9524530934054
2005,"Dallas, TX",32.7767,-96.797,27.757941005082984
2006,"Dallas, TX",32.7767,-96.797,28.43638898679429
2007,"Dallas, TX",32.7767,-96.797,34.73966734186897
2008,"Dallas, TX",32.7767,-96.797,34.74723988836455
2010,"Dallas, TX",32.7767,-96.797,33.65306423575963
2011,"Dallas, TX",32.7767,-96.797,29.590401114559658
1981,"El Paso, TX",31.7619,-106.485,24.81943433013247
1982,"El Paso, TX",31.7619,-106.485,24.90051375682412
1983,"El Paso, TX",31.7619,-106.485,26.082142078318352
1984,"El Paso, TX",31.7619,-106.485,25.735785754871028
1985,"El Paso, TX",31.7619,-106.485,27.615049952620375
1986,"El Paso, TX",31.7619,-106.485,27.875266060901325
1987,"El Paso, TX",31.7619,-106.485,24.14350878454268
1988,"El Paso, TX",31.7619,-106.485,19.976277742522505
1989,"El Paso, TX",31.7619,-106.485,27.8744587001741
1990,"El Paso, TX",31.7619,-106.485,29.86961292499497
1991,"El Paso, TX",31.7619,-106.485,27.19744502837011
1992,"El Paso, TX",31.7619,-106.485,29.036096253104052
1995,"El Paso, TX",31.7619,-106.485,30.124694216550097
1996,"El Paso, TX",31.7619,-106.485,29.350696533961763
1997,"El Paso, TX",31.7619,-106.485,30.567878157217155
2002,"El Paso, TX",31.7619,-106.485,35.28277434449582
2004,"El Paso, TX",31.7619,-106.485,29.685753402526473
1980,"Fabens, TX",31.5023,-106.1586,29.601369038301268
2016,"Five Points, CA",36.4296,-120.1031,35.57244598695977
2019,"Five Points, CA",36.4296,-120.1031,35.0870334601361
1980,"Florence, SC",34.1954,-79.7626,26.14455923745979
1981,"Florence, SC",34.1954,-79.7626,27.931967121191988
1982,"Florence, SC",34.1954,-79.7626,28.63435767181312
1983,"Florence, SC",34.1954,-79.7626,27.649666628237057
1984,"Florence, SC",34.1954,-79.7626,29.746030116829115
1985,"Florence, SC",34.1954,-79.7626,30.280104746036507
1986,"Florence, SC",34.1954,-79.7626,29.79189467343956
1987,"Florence, SC",34.1954,-79.7626,25.88413440998751
1989,"Florence, SC",34.1954,-79.7626,27.81226150603028
1990,"Florence, SC",34.1954,-79.7626,32.062901645569575
1991,"Florence, SC",34.1954,-79.7626,29.640113251346392
1992,"Florence, SC",34.1954,-79.7626,33.22122851785781
1995,"Florence, SC",34.1954,-79.7626,31.210569911293383
1997,"Florence, SC",34.1954,-79.7626,29.67430946289555
1998,"Florence, SC",34.1954,-79.7626,28.482586936460393
2000,"Florence, SC",34.1954,-79.7626,31.40315565591216
2004,"Florence, SC",34.1954,-79.7626,29.63102028396234
2007,"Florence, SC",34.1954,-79.7626,33.16156692994253
2008,"Florence, SC",34.1954,-79.7626,32.122064724112256
2009,"Florence, SC",34.1954,-79.7626,33.28084835003478
2010,"Florence, SC",34.1954,-79.7626,34.140116403111904
2011,"Florence, SC",34.1954,-79.7626,35.20139861836247
2012,"Florence, SC",34.1954,-79.7626,33.63185745733698
2013,"Florence, SC",34.1954,-79.7626,33.038036146676376
2016,"Florence, SC",34.1954,-79.7626,33.58230008949224
2017,"Florence, SC",34.1954,-79.7626,34.49416056164749
2018,"Florence, SC",34.1954,-79.7626,32.02895802299266
2019,"Florence, SC",34.1954,-79.7626,33.35319218639845
2012,"Fort Cobb, OK",35.0978,-98.4356,37.01163944071477
2014,"Fort Cobb, OK",35.0978,-98.4356,35.639464638884846
2000,"Fresno County, CA",36.9859,-119.2321,36.4647980563115
2008,"Griffin, GA",33.2468,-84.2641,34.409594685940874
2010,"Griffin, GA",33.2468,-84.2641,31.81422438653663
2011,"Griffin, GA",33.2468,-84.2641,33.94627255595071
2012,"Griffin, GA",33.2468,-84.2641,32.895663105119894
2013,"Griffin, GA",33.2468,-84.2641,32.316031788100084
2017,"Griffin, GA",33.2468,-84.2641,33.40666056164748
2018,"Griffin, GA",33.2468,-84.2641,32.039938414433486
1981,"Halfway, TX",34.1881,-101.9524,26.234176812284858
1982,"Halfway, TX",34.1881,-101.9524,28.467187414396797
1983,"Halfway, TX",34.1881,-101.9524,27.351061983168385
1984,"Halfway, TX",34.1881,-101.9524,28.50625211599369
1980,"Jackson, TN",35.6145,-88.8139,28.525227390476363
1981,"Jackson, TN",35.6145,-88.8139,30.417165950125984
1983,"Jackson, TN",35.6145,-88.8139,28.075961363916715
1984,"Jackson, TN",35.6145,-88.8139,31.107243843336978
1985,"Jackson, TN",35.6145,-88.8139,30.049978066245707
1986,"Jackson, TN",35.6145,-88.8139,33.621155796477126
1987,"Jackson, TN",35.6145,-88.8139,28.75287059909559
1988,"Jackson, TN",35.6145,-88.8139,23.53793837386182
1989,"Jackson, TN",35.6145,-88.8139,28.7674405771652
1990,"Jackson, TN",35.6145,-88.8139,30.318750996711135
1991,"Jackson, TN",35.6145,-88.8139,29.45021659908133
1992,"Jackson, TN",35.6145,-88.8139,30.413516369292264
1993,"Jackson, TN",35.6145,-88.8139,31.036670315070545
2005,"Jackson, TN",35.6145,-88.8139,31.942881739351854
2006,"Jackson, TN",35.6145,-88.8139,33.117346889965596
2009,"Jackson, TN",35.6145,-88.8139,29.574895195981284
2015,"Jackson, TN",35.6145,-88.8139,34.773597079091246
2017,"Jackson, TN",35.6145,-88.8139,34.66472312677508
1992,"Keiser, AR",35.6749,-90.0985,31.04547233310133
1994,"Keiser, AR",35.6749,-90.0985,30.935917740299452
1995,"Keiser, AR",35.6749,-90.0985,33.47813971800104
1996,"Keiser, AR",35.6749,-90.0985,30.649749948896332
1997,"Keiser, AR",35.6749,-90.0985,31.04712352399894
1999,"Keiser, AR",35.6749,-90.0985,31.295439633688098
2000,"Keiser, AR",35.6749,-90.0985,30.069822322578805
2002,"Keiser, AR",35.6749,-90.0985,31.60890931828223
2004,"Keiser, AR",35.6749,-90.0985,30.79829495314467
2005,"Keiser, AR",35.6749,-90.0985,33.0172170021619
2007,"Keiser, AR",35.6749,-90.0985,31.756798035732828
2009,"Keiser, AR",35.6749,-90.0985,32.216443286490666
2010,"Keiser, AR",35.6749,-90.0985,35.25303181925722
2012,"Keiser, AR",35.6749,-90.0985,35.22990549651147
2013,"Keiser, AR",35.6749,-90.0985,34.97171348897725
2014,"Keiser, AR",35.6749,-90.0985,34.17927071286243
2015,"Keiser, AR",35.6749,-90.0985,36.28118938698262
2016,"Keiser, AR",35.6749,-90.0985,35.776858190617084
2017,"Keiser, AR",35.6749,-90.0985,33.52595414353925
2018,"Keiser, AR",35.6749,-90.0985,34.04554109397858
2019,"Keiser, AR",35.6749,-90.0985,34.696989020426535
2000,"Kern, CA",35.3935,-119.0437,32.54813138964486
2005,"Knoxville, TN",35.9606,-83.9207,27.55679248414782
1991,"La Mesa, NM",32.7376,-106.7079,31.50837146229331
1980,"Lamesa, TX",32.7376,-101.951,26.90638070373827
1982,"Lamesa, TX",32.7376,-101.951,27.800520747730133
1984,"Lamesa, TX",32.7376,-101.951,29.05170666144823
1987,"Lamesa, TX",32.7376,-101.951,26.279953848642865
1989,"Lamesa, TX",32.7376,-101.951,29.210256878945895
1991,"Lamesa, TX",32.7376,-101.951,28.251424932811876
1994,"Lamesa, TX",32.7376,-101.951,28.114288235917822
1995,"Lamesa, TX",32.7376,-101.951,32.08872235387985
1997,"Lamesa, TX",32.7376,-101.951,31.955704773843493
2001,"Lamesa, TX",32.7376,-101.951,30.570338464155835
2004,"Lamesa, TX",32.7376,-101.951,30.63541273805116
2006,"Lamesa, TX",32.7376,-101.951,29.9741811575184
2007,"Lamesa, TX",32.7376,-101.951,31.045609728946975
2008,"Lamesa, TX",32.7376,-101.951,30.73281852231573
2009,"Lamesa, TX",32.7376,-101.951,30.07897236846957
2012,"Lamesa, TX",32.7376,-101.951,32.344972774048095
2014,"Lamesa, TX",32.7376,-101.951,31.033909083329274
2016,"Lamesa, TX",32.7376,-101.951,33.17279797221817
2017,"Lamesa, TX",32.7376,-101.951,34.445615561332055
2018,"Lamesa, TX",32.7376,-101.951,33.40632984704633
2020,"Lamesa, TX",32.7376,-101.951,32.2495376823505
1996,"Las Cruces, NM",32.3199,-106.7637,29.580662030395736
1997,"Las Cruces, NM",32.3199,-106.7637,29.967878157217157
1999,"Las Cruces, NM",32.3199,-106.7637,30.691253194675415
2001,"Las Cruces, NM",32.3199,-106.7637,34.00736033943106
2006,"Las Cruces, NM",32.3199,-106.7637,31.492882774254163
2008,"Las Cruces, NM",32.3199,-106.7637,34.47978881084095
2011,"Las Cruces, NM",32.3199,-106.7637,37.937464364957506
2012,"Las Cruces, NM",32.3199,-106.7637,35.58032893234017
2013,"Las Cruces, NM",32.3199,-106.7637,32.8001546927916
2015,"Las Cruces, NM",32.3199,-106.7637,33.5830099359554
2018,"Las Cruces, NM",32.3199,-106.7637,31.55531866087219
2008,"Lemoore, CA",36.3008,-119.7829,37.66393449086484
2010,"Lemoore, CA",36.3008,-119.7829,36.280873324811225
2011,"Lemoore, CA",36.3008,-119.7829,35.83498477133648
2014,"Lemoore, CA",33.5846,-101.8456,28.63084758796816
1998,"Logandale, NV",36.5966406,-114.4841487,36.791368107152245
1981,"Lubbock, TX",33.5846,-101.8456,26.178621256729297
1982,"Lubbock, TX",33.5846,-101.8456,27.77274296995235
1983,"Lubbock, TX",33.5846,-101.8456,27.9760619831684
1984,"Lubbock, TX",33.5846,-101.8456,27.051706661448236
1985,"Lubbock, TX",33.5846,-101.8456,26.3244339341755
1988,"Lubbock, TX",33.5846,-101.8456,21.77389324258224
1989,"Lubbock, TX",33.5846,-101.8456,28.9193477880368
1990,"Lubbock, TX",33.5846,-101.8456,27.799823261347743
1991,"Lubbock, TX",33.5846,-101.8456,28.442334023720992
1993,"Lubbock, TX",33.5846,-101.8456,31.063722353879864
1994,"Lubbock, TX",33.5846,-101.8456,29.980954902584543
1997,"Lubbock, TX",33.5846,-101.8456,30.45570477384351
1998,"Lubbock, TX",33.5846,-101.8456,31.17018993538183
1999,"Lubbock, TX",33.5846,-101.8456,31.224184618001992
2000,"Lubbock, TX",33.5846,-101.8456,31.647261541078915
2001,"Lubbock, TX",33.5846,-101.8456,32.33956923338659
2002,"Lubbock, TX",33.5846,-101.8456,30.443105045743465
2007,"Lubbock, TX",33.5846,-101.8456,31.651288808525912
2011,"Lubbock, TX",33.5846,-101.8456,35.99581852457762
2012,"Lubbock, TX",33.5846,-101.8456,32.69036725312964
2013,"Lubbock, TX",33.5846,-101.8456,32.30508194187651
2016,"Lubbock, TX",33.5846,-101.8456,34.56347336623378
2018,"Lubbock, TX",33.5846,-101.8456,34.66532115978993
1980,"Mangum, OK",34.872,-99.5043,26.767491814849397
1981,"Mangum, OK",34.872,-99.5043,27.150843478951515
1980,"Marana, AZ",32.4364,-111.2224,28.31565475258699
1981,"Marana, AZ",32.4364,-111.2224,27.589747537005564
1984,"Marana, AZ",32.4364,-111.2224,25.006023345742634
1991,"Marana, AZ",32.4364,-111.2224,33.50003812895997
1993,"Marana, AZ",32.4364,-111.2224,29.379088455455527
1998,"Marana, AZ",32.4364,-111.2224,29.67264598574694
1980,"Marianna, AR",34.7746,-90.7723,25.69530926468708
1980,"Maricopa, AZ",33.0581,-112.0476,24.827609893033372
1983,"Maricopa, AZ",33.0581,-112.0476,28.68791789389303
1984,"Maricopa, AZ",33.0581,-112.0476,25.922690012409294
1985,"Maricopa, AZ",33.0581,-112.0476,28.909261115633647
1986,"Maricopa, AZ",33.0581,-112.0476,28.49221065989665
1987,"Maricopa, AZ",33.0581,-112.0476,26.48275960405949
1988,"Maricopa, AZ",33.0581,-112.0476,22.033414414496164
1990,"Maricopa, AZ",33.0581,-112.0476,32.45116769403678
1991,"Maricopa, AZ",33.0581,-112.0476,33.93337146229329
1992,"Maricopa, AZ",33.0581,-112.0476,28.652680229242424
1993,"Maricopa, AZ",33.0581,-112.0476,27.695961983457742
1994,"Maricopa, AZ",33.0581,-112.0476,30.80092834671776
1996,"Maricopa, AZ",33.0581,-112.0476,31.79963381125193
1998,"Maricopa, AZ",33.0581,-112.0476,32.09223554806498
2000,"Maricopa, AZ",33.0581,-112.0476,30.59237339035059
2003,"Maricopa, AZ",33.0581,-112.0476,37.650405740342904
2004,"Maricopa, AZ",33.0581,-112.0476,37.254490605441006
2005,"Maricopa, AZ",33.0581,-112.0476,30.89753336075958
2006,"Maricopa, AZ",33.0581,-112.0476,31.213777134438825
2018,"Maricopa, AZ",33.0581,-112.0476,35.82327783144455
1981,"Midville, GA",32.819,-82.2348,28.21334376454364
1985,"Midville, GA",32.819,-82.2348,29.478305709917645
1980,"Milan, TN",35.9198,-88.7589,26.915754098710785
1981,"Milan, TN",35.9198,-88.7589,29.413343764543647
1980,"Pecos, TX",31.4229,-103.4932,24.15396055662065
1981,"Pecos, TX",31.4229,-103.4932,26.093391563885472
1982,"Pecos, TX",31.4229,-103.4932,26.17829153460189
1983,"Pecos, TX",31.4229,-103.4932,25.344958201268557
1984,"Pecos, TX",31.4229,-103.4932,30.132012048299377
1986,"Pecos, TX",31.4229,-103.4932,27.929191940915786
1987,"Pecos, TX",31.4229,-103.4932,23.739782242845
1988,"Pecos, TX",31.4229,-103.4932,21.46368499790772
1989,"Pecos, TX",31.4229,-103.4932,27.710981211798178
1990,"Pecos, TX",31.4229,-103.4932,29.30294625832833
1991,"Pecos, TX",31.4229,-103.4932,25.946248212713204
1992,"Pecos, TX",31.4229,-103.4932,28.76650434002066
1993,"Pecos, TX",31.4229,-103.4932,30.227045535100025
1995,"Pecos, TX",31.4229,-103.4932,30.814819087820347
1997,"Pecos, TX",31.4229,-103.4932,28.198485208208343
1998,"Pecos, TX",31.4229,-103.4932,29.776684690998593
2000,"Pecos, TX",31.4229,-103.4932,29.29167431728461
2001,"Pecos, TX",31.4229,-103.4932,30.46609737434983
2002,"Pecos, TX",31.4229,-103.4932,32.58882806806359
2004,"Pecos, TX",31.4229,-103.4932,29.088828068063595
2006,"Pecos, TX",31.4229,-103.4932,28.02141333579486
2007,"Pecos, TX",31.4229,-103.4932,31.671413335794853
2008,"Pecos, TX",31.4229,-103.4932,29.92935736020727
2009,"Pecos, TX",31.4229,-103.4932,32.14855936576413
2010,"Pecos, TX",31.4229,-103.4932,32.363985334677274
2015,"Pecos, TX",36.4253,-89.6995,34.8424920089978
1980,"Phoenix, AZ",33.4484,-112.074,29.31565475258698
1981,"Portageville, MO",36.4253,-89.6995,28.973618353080823
1983,"Portageville, MO",36.4253,-89.6995,29.955108307543473
1984,"Portageville, MO",36.4253,-89.6995,29.684922388344063
1985,"Portageville, MO",36.4253,-89.6995,28.72351789989707
1989,"Portageville, MO",36.4253,-89.6995,30.39683583179719
1990,"Portageville, MO",36.4253,-89.6995,31.973439744384095
1991,"Portageville, MO",36.4253,-89.6995,30.702437931089698
